cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.030303030303030304,0.0,0.0,0.042105263157894736,0.23809523809523808,0.0898876404494382,0.042105263157894736,0.0,0.12,0.06481481481481481,0.0,0.12903225806451613,0.08333333333333333,0.0,0.0,0.19047619047619047,0.05263157894736842,,0.17218543046357615,1.0,0.0,0.1388888888888889,0.10526315789473684,0.0975609756097561,0.07407407407407407,0.09565217391304348,0.16666666666666666,0.0,0.0,0.15789473684210525,0.14705882352941177,0.09556313993174062,0.09929078014184398,0.0,0.125,
-12,0.030303030303030304,0.0,0.11764705882352941,0.08270676691729323,0.1346153846153846,0.046357615894039736,0.04065040650406504,0.0,0.16393442622950818,0.06451612903225806,0.043478260869565216,0.0,0.019230769230769232,0.0,0.3333333333333333,0.1,0.07246376811594203,0.0,0.18807339449541285,,0.0,0.09375,0.12099644128113879,0.2903225806451613,0.09302325581395349,0.044444444444444446,0.1391304347826087,0.0,0.03571428571428571,0.3142857142857143,0.10236220472440945,0.0735632183908046,0.17123287671232876,0.02127659574468085,0.14634146341463414,
-11,0.03225806451612903,0.0,0.02564102564102564,0.050359712230215826,0.21739130434782608,0.06060606060606061,0.033112582781456956,0.0,0.16901408450704225,0.08035714285714286,0.08695652173913043,0.08333333333333333,0.04878048780487805,,0.5,0.1,0.10526315789473684,0.0,0.17903930131004367,0.25,0.14285714285714285,0.11290322580645161,0.10040160642570281,0.23333333333333334,0.041666666666666664,0.05263157894736842,0.11206896551724138,0.0,0.06382978723404255,0.4444444444444444,0.07476635514018691,0.10344827586206896,0.1625,0.047619047619047616,0.12195121951219512,
-10,0.03278688524590164,0.0,0.125,0.07096774193548387,0.11538461538461539,0.04093567251461988,0.034722222222222224,0.0,0.19696969696969696,0.11956521739130435,0.05263157894736842,0.0,0.0,0.0,0.16666666666666666,0.13043478260869565,0.013513513513513514,0.0,0.2037914691943128,0.0,0.0,0.0425531914893617,0.11409395973154363,0.10344827586206896,0.15384615384615385,0.05056179775280899,0.1651376146788991,0.0,0.08333333333333333,0.275,0.10091743119266056,0.0888382687927107,0.1925925925925926,0.047619047619047616,0.14545454545454545,
-9,0.0,0.0,0.13793103448275862,0.08666666666666667,0.06896551724137931,0.07027027027027027,0.041666666666666664,0.05263157894736842,0.09375,0.16666666666666666,0.07407407407407407,0.03225806451612903,0.0,0.0,0.14285714285714285,0.2631578947368421,0.024691358024691357,0.0,0.1187214611872146,0.0,0.0,0.0625,0.12452830188679245,0.2127659574468085,0.058823529411764705,0.06369426751592357,0.22857142857142856,0.0,0.017543859649122806,0.35714285714285715,0.1417910447761194,0.08352668213457076,0.17105263157894737,0.0,0.09090909090909091,
-8,0.019230769230769232,0.0,0.0,0.05384615384615385,0.20512820512820512,0.05649717514124294,0.03125,0.0,0.12195121951219512,0.13253012048192772,0.08,0.0,0.029411764705882353,,0.25,0.21052631578947367,0.04838709677419355,0.0,0.08426966292134831,0.3333333333333333,0.0,0.06818181818181818,0.10964912280701754,0.1891891891891892,0.047619047619047616,0.05844155844155844,0.23255813953488372,0.043478260869565216,0.06521739130434782,0.12121212121212122,0.08547008547008547,0.06756756756756757,0.11764705882352941,0.125,0.19230769230769232,
-7,0.0,0.0,0.16666666666666666,0.023255813953488372,0.14285714285714285,0.024793388429752067,0.024242424242424242,0.0,0.14814814814814814,0.10891089108910891,0.0,0.08778625954198473,0.0,0.0,0.15384615384615385,0.1111111111111111,0.04878048780487805,0.0,0.15873015873015872,0.0,0.0,0.04878048780487805,0.13380281690140844,0.15217391304347827,0.15384615384615385,0.04697986577181208,0.14102564102564102,0.0,0.04081632653061224,0.28,0.1348314606741573,0.0851063829787234,0.12105263157894737,0.09090909090909091,0.05405405405405406,0.07462686567164178
-6,0.012345679012345678,0.0,0.2,0.09580838323353294,0.09090909090909091,0.05825242718446602,0.05116279069767442,0.07142857142857142,0.16666666666666666,0.15404040404040403,0.08695652173913043,0.08358208955223881,0.05263157894736842,0.0,0.07692307692307693,0.1125,0.07246376811594203,0.0,0.16101694915254236,0.2857142857142857,0.0,0.0967741935483871,0.0958904109589041,0.2857142857142857,0.13043478260869565,0.03664921465968586,0.19672131147540983,0.07692307692307693,0.02040816326530612,0.26666666666666666,0.16153846153846155,0.128686327077748,0.17857142857142858,0.2777777777777778,0.1276595744680851,0.04310344827586207
-5,0.012987012987012988,0.0,0.045454545454545456,0.056338028169014086,0.1320754716981132,0.04329004329004329,0.05555555555555555,0.0,0.1875,0.12854030501089325,0.08108108108108109,0.0862533692722372,0.04285714285714286,0.0,0.0,0.12371134020618557,0.05825242718446602,0.0,0.08582089552238806,0.0,0.0,0.09836065573770492,0.13358778625954199,0.26,0.07339449541284404,0.035555555555555556,0.14666666666666667,0.06896551724137931,0.0410958904109589,0.23333333333333334,0.16216216216216217,0.09601873536299765,0.19021739130434784,0.29411764705882354,0.20408163265306123,0.05263157894736842
-4,0.036585365853658534,0.0,0.09523809523809523,0.1111111111111111,0.15555555555555556,0.049586776859504134,0.03398058252427184,0.15,0.17391304347826086,0.10551558752997602,0.034482758620689655,0.08928571428571429,0.041666666666666664,0.0,0.21428571428571427,0.16853932584269662,0.04310344827586207,0.0,0.13227513227513227,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.11934156378600823,0.0967741935483871,0.06896551724137931,0.0427807486631016,0.1984126984126984,0.0625,0.012658227848101266,0.28,0.13194444444444445,0.07631578947368421,0.1601423487544484,0.10344827586206896,0.15151515151515152,0.04411764705882353
