cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.0851063829787234,0.041666666666666664,0.0,0.04054054054054054,0.18181818181818182,0.049342105263157895,0.10231023102310231,0.05555555555555555,,0.024096385542168676,0.061855670103092786,0.23076923076923078,0.0625,0.0440251572327044,,0.0,0.06310679611650485,0.10526315789473684,0.045454545454545456,0.2,0.08074534161490683,0.125,0.0,0.023809523809523808,0.09375,0.08860759493670886,0.023809523809523808,0.034482758620689655,0.06569343065693431,0.05357142857142857,0.0,0.12871287128712872,0.02564102564102564,0.16981132075471697,0.04395604395604396,0.0,0.043010752688172046,0.08490566037735849,0.10714285714285714,,0.0
-18,0.15315315315315314,0.0625,0.2,0.04411764705882353,0.1590909090909091,0.04361370716510903,0.11258278145695365,0.10344827586206896,,0.05063291139240506,0.06521739130434782,0.13636363636363635,0.14583333333333334,0.11428571428571428,0.0,0.1,0.0425531914893617,0.06451612903225806,0.0425531914893617,0.10526315789473684,0.0661764705882353,0.14285714285714285,0.0,0.0196078431372549,0.06329113924050633,0.06,0.1,0.043478260869565216,0.04,0.06666666666666667,0.125,0.0641025641025641,0.05555555555555555,0.10256410256410256,0.049019607843137254,0.0,0.06422018348623854,0.020202020202020204,0.06060606060606061,,0.0
-17,0.06382978723404255,0.022727272727272728,0.0,0.05194805194805195,0.16666666666666666,0.05016722408026756,0.09,0.038461538461538464,,0.04054054054054054,0.07368421052631578,0.14285714285714285,0.10204081632653061,0.04807692307692308,1.0,0.08333333333333333,0.047872340425531915,0.1,0.0,0.23076923076923078,0.08426966292134831,0.17647058823529413,0.0,0.06666666666666667,0.15517241379310345,0.019230769230769232,0.0,0.03773584905660377,0.05185185185185185,0.0,0.0,0.07142857142857142,0.08571428571428572,0.13793103448275862,0.06321839080459771,0.0,0.059322033898305086,0.04878048780487805,0.0,,0.0
-16,0.09523809523809523,0.2,0.2,0.02197802197802198,0.11320754716981132,0.08641975308641975,0.13924050632911392,0.10638297872340426,,0.04838709677419355,0.043478260869565216,0.17142857142857143,0.07142857142857142,0.05511811023622047,0.0,0.0,0.05649717514124294,0.038461538461538464,0.10256410256410256,0.09090909090909091,0.08187134502923976,0.3333333333333333,0.5,0.045454545454545456,0.075,0.02531645569620253,0.037037037037037035,0.06349206349206349,0.047619047619047616,0.07142857142857142,0.1,0.13333333333333333,0.03076923076923077,0.14516129032258066,0.058365758754863814,0.0,0.019736842105263157,0.07446808510638298,0.0,,0.0
-15,0.13043478260869565,0.06976744186046512,0.3333333333333333,0.05194805194805195,0.08163265306122448,0.07142857142857142,0.075,0.09615384615384616,,0.01639344262295082,0.03296703296703297,0.075,0.05405405405405406,0.08029197080291971,0.0,0.0,0.04081632653061224,0.041666666666666664,0.027777777777777776,0.1875,0.05389221556886228,0.1,0.5,0.02564102564102564,0.07792207792207792,0.03773584905660377,0.03571428571428571,0.11864406779661017,0.049079754601226995,0.06060606060606061,0.2,0.10655737704918032,0.04477611940298507,0.13432835820895522,0.04470588235294118,0.0,0.05555555555555555,0.0594059405940594,0.08333333333333333,,0.0
-14,0.10638297872340426,0.07142857142857142,0.0,0.04838709677419355,0.125,0.06315789473684211,0.09523809523809523,0.09523809523809523,0.0,0.05,0.1388888888888889,0.13793103448275862,0.1368421052631579,0.014705882352941176,0.0,0.0,0.06837606837606838,0.04878048780487805,0.022727272727272728,0.047619047619047616,0.11904761904761904,0.3,0.0,0.045454545454545456,0.06666666666666667,0.1276595744680851,0.0,0.07692307692307693,0.06363636363636363,0.13043478260869565,0.0,0.16417910447761194,0.023809523809523808,0.08571428571428572,0.059850374064837904,0.0,0.045454545454545456,0.043478260869565216,0.0,,0.0
-13,0.16666666666666666,0.12280701754385964,0.0,0.027522935779816515,0.1,0.05507246376811594,0.0912,0.12195121951219512,,0.016129032258064516,0.12738853503184713,0.15384615384615385,0.1650485436893204,0.11304347826086956,0.3333333333333333,0.10526315789473684,0.03763440860215054,0.07216494845360824,0.05555555555555555,0.06666666666666667,0.057803468208092484,0.23076923076923078,,0.05263157894736842,0.09210526315789473,0.05555555555555555,0.0,0.04411764705882353,0.042682926829268296,0.0851063829787234,0.0,0.09868421052631579,0.05813953488372093,0.08536585365853659,0.03232323232323232,0.0,0.07643312101910828,0.014598540145985401,0.23076923076923078,0.05084745762711865,0.14285714285714285
-12,0.11570247933884298,0.03225806451612903,0.0,0.02830188679245283,0.09375,0.06793478260869565,0.07320261437908497,0.1282051282051282,0.0,0.04516129032258064,0.11891891891891893,0.09090909090909091,0.0892018779342723,0.09473684210526316,0.0,0.11764705882352941,0.0228310502283105,0.04854368932038835,0.06451612903225806,0.12121212121212122,0.09482758620689655,0.19444444444444445,0.25,0.038461538461538464,0.07228915662650602,0.06349206349206349,0.0,0.0650887573964497,0.09195402298850575,0.1044776119402985,0.18181818181818182,0.08441558441558442,0.07058823529411765,0.07352941176470588,0.06060606060606061,0.0,0.05263157894736842,0.08275862068965517,0.07692307692307693,0.18421052631578946,0.2
-11,0.06862745098039216,0.08333333333333333,0.0,0.056338028169014086,0.14492753623188406,0.10382513661202186,0.06683804627249357,0.21875,,0.03571428571428571,0.12755102040816327,0.1111111111111111,0.07655502392344497,0.0949367088607595,0.0,0.11764705882352941,0.06578947368421052,0.0989010989010989,0.0784313725490196,0.21428571428571427,0.08280254777070063,0.125,0.0,0.02127659574468085,0.1038961038961039,0.08333333333333333,0.0,0.06535947712418301,0.041916167664670656,0.1323529411764706,0.14285714285714285,0.07878787878787878,0.07692307692307693,0.10810810810810811,0.04183266932270916,0.0,0.043478260869565216,0.03418803418803419,0.0,0.0625,0.0
-10,0.06422018348623854,0.05128205128205128,0.5,0.02666666666666667,0.125,0.046898638426626324,0.07086614173228346,0.16666666666666666,,0.024539877300613498,0.1329479768786127,0.175,0.17486338797814208,0.1016949152542373,0.3333333333333333,0.09090909090909091,0.04090909090909091,0.05426356589147287,0.0,0.0,0.06504065040650407,0.12121212121212122,0.0,0.018518518518518517,0.014705882352941176,0.039473684210526314,0.045454545454545456,0.06976744186046512,0.04285714285714286,0.06060606060606061,0.2857142857142857,0.05263157894736842,0.020833333333333332,0.1076923076923077,0.04483430799220273,0.0,0.0391304347826087,0.041176470588235294,0.0,0.13513513513513514,0.0
