cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-19,0.0022222222222222222,0.0025188916876574307,0.0,0.0,0.06756756756756757,0.012113055181695828,0.00375234521575985,0.0,0.018518518518518517,0.0,0.014184397163120567,0.00819672131147541,0.003215434083601286,0.0,0.07142857142857142,0.013157894736842105,0.004878048780487805,0.0,0.01059001512859304,0.0,0.0,0.0,0.0026595744680851063,0.0,0.008333333333333333,0.008130081300813009,0.0,0.0,0.0,0.011494252873563218,0.01092896174863388,0.004369992716678805,0.011730205278592375,0.0,0.0,
-18,0.01152073732718894,0.0,0.0,0.006211180124223602,0.029850746268656716,0.011611030478955007,0.004464285714285714,0.0,0.02,0.004338394793926247,0.008620689655172414,0.0,0.0035087719298245615,0.0,0.0,0.011627906976744186,0.0,,0.008944543828264758,0.0,0.0,0.047619047619047616,0.006024096385542169,0.0,0.0,0.01020408163265306,0.0,0.02564102564102564,0.02857142857142857,0.03184713375796178,0.011560693641618497,0.008468052347959968,0.009708737864077669,0.0,0.0,
-17,0.007481296758104738,0.0013698630136986301,0.0,0.0,0.05454545454545454,0.011182108626198083,0.0022471910112359553,0.0,0.04672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.001893939393939394,0.0,0.034482758620689655,0.0,0.0057306590257879654,0.013513513513513514,0.0,0.0028735632183908046,0.0,0.0,0.016129032258064516,0.006329113924050633,0.0,0.007685738684884714,0.004694835680751174,,0.0,
-16,0.00597609561752988,0.0014388489208633094,0.0,0.00546448087431694,0.0,0.010014306151645207,0.0022675736961451248,0.0425531914893617,0.01098901098901099,0.004597701149425287,0.007936507936507936,0.008695652173913044,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.005291005291005291,0.0,0.015625,0.13333333333333333,0.011267605633802818,0.0,0.0,0.012232415902140673,0.0,0.0,0.011363636363636364,0.012658227848101266,0.012048192771084338,0.006600660066006601,0.004651162790697674,0.0,0.0,
-15,0.0,0.0,0.0,0.004975124378109453,0.01818181818181818,0.010574018126888218,0.004694835680751174,0.03125,0.010416666666666666,0.0022471910112359553,0.009259259259259259,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.007736943907156673,0.0,0.0,0.0,0.008620689655172414,0.0,0.00909090909090909,0.009404388714733543,0.011494252873563218,0.0,0.005154639175257732,0.006578947368421052,0.006329113924050633,0.013227513227513227,0.0,0.0,0.0,
-14,0.005865102639296188,0.006550218340611353,0.0,0.006993006993006993,0.0,0.018518518518518517,0.005649717514124294,0.02631578947368421,0.0136986301369863,0.007263922518159807,0.018691588785046728,0.010963646855164455,0.006944444444444444,0.0,0.0,0.0072992700729927005,0.0022026431718061676,,0.0049261083743842365,0.0,0.0,0.0625,0.01092896174863388,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.02608695652173913,0.0,0.007494646680942184,0.0016891891891891893,,0.0,
-13,0.0020325203252032522,0.0029498525073746312,0.0,0.0,0.016666666666666666,0.012687427912341407,0.00894187779433681,0.045454545454545456,0.0,0.002472187886279357,0.006756756756756757,0.008455034588777863,0.0030120481927710845,0.0,0.0,0.0045662100456621,0.005434782608695652,,0.005788712011577424,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0021413276231263384,0.012345679012345678,0.0,0.0,0.010526315789473684,0.017543859649122806,0.0,0.012248468941382326,0.002173913043478261,,0.009345794392523364,0.0
-12,0.00404040404040404,0.003989361702127659,0.0,0.0,0.028169014084507043,0.007462686567164179,0.008403361344537815,0.0,0.018779342723004695,0.004744958481613286,0.0,0.007352941176470588,0.0,0.0,0.0,0.006644518272425249,0.0,0.0,0.008375209380234505,0.0,0.0,0.0,0.002777777777777778,0.01282051282051282,0.0075,0.005479452054794521,0.008928571428571428,0.0,0.0196078431372549,0.006622516556291391,0.0,0.008050089445438283,0.0,0.0,0.0,0.006920415224913495
-11,0.009174311926605505,0.008253094910591471,0.0,0.0,0.016129032258064516,0.013175230566534914,0.018456375838926176,0.0,0.011049723756906077,0.005518763796909493,0.0,0.00618921308576481,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.004338394793926247,0.0,0.0136986301369863,0.0,0.007832898172323759,0.0,0.013123359580052493,0.024464831804281346,0.00847457627118644,0.02127659574468085,0.018957345971563982,0.0,0.0,0.008181818181818182,0.0024509803921568627,0.0,0.0,0.007462686567164179
-10,0.008421052631578947,0.0034782608695652175,0.0,0.0,0.0,0.012476007677543186,0.013745704467353952,0.02040816326530612,0.02054794520547945,0.007863695937090432,0.0,0.0053475935828877,0.0,0.0,0.0,0.008130081300813009,0.0034965034965034965,0.0,0.010526315789473684,0.0,0.008333333333333333,0.0,0.002932551319648094,0.0,0.0051813471502590676,0.0,0.0,0.0,0.026905829596412557,0.016216216216216217,0.0,0.00510204081632653,0.005813953488372093,0.025,0.0,0.0
