cycle,AL,AR,AZ,CA,CO,FL,GA,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,0.010638297872340425,0.0,0.0,0.0,0.0,0.046052631578947366,0.04950495049504951,0.19444444444444445,,0.13253012048192772,0.061855670103092786,0.02564102564102564,0.1875,0.12578616352201258,,0.0,0.10679611650485436,0.10526315789473684,0.045454545454545456,0.0,0.062111801242236024,0.0,0.0,0.09523809523809523,0.052083333333333336,0.0379746835443038,0.11904761904761904,0.08620689655172414,0.10218978102189781,0.08928571428571429,0.0,0.0594059405940594,0.28205128205128205,0.1320754716981132,0.02197802197802198,0.0,0.12365591397849462,0.09433962264150944,0.03571428571428571,,0.0
-18,0.05405405405405406,0.020833333333333332,0.0,0.029411764705882353,0.045454545454545456,0.08411214953271028,0.052980132450331126,0.08620689655172414,,0.1518987341772152,0.021739130434782608,0.022727272727272728,0.2708333333333333,0.08571428571428572,0.0,0.0,0.13297872340425532,0.0967741935483871,0.0851063829787234,0.15789473684210525,0.09558823529411764,0.0,0.0,0.0784313725490196,0.06329113924050633,0.12,0.15,0.15942028985507245,0.04,0.022222222222222223,0.125,0.07692307692307693,0.3888888888888889,0.0641025641025641,0.052941176470588235,0.0,0.13761467889908258,0.13131313131313133,0.030303030303030304,,0.2
-17,0.09574468085106383,0.0,0.16666666666666666,0.03896103896103896,0.03333333333333333,0.05351170568561873,0.04,0.07692307692307693,,0.14864864864864866,0.042105263157894736,0.0,0.2653061224489796,0.1346153846153846,0.0,0.0,0.13829787234042554,0.1,0.07692307692307693,0.07692307692307693,0.08426966292134831,0.11764705882352941,0.0,0.08888888888888889,0.06896551724137931,0.09615384615384616,0.1111111111111111,0.05660377358490566,0.1037037037037037,0.11627906976744186,0.0,0.030612244897959183,0.2857142857142857,0.10344827586206896,0.05938697318007663,0.0,0.13559322033898305,0.056910569105691054,0.0,,0.3333333333333333
-16,0.03571428571428571,0.0,0.2,0.0,0.05660377358490566,0.06481481481481481,0.04430379746835443,0.06382978723404255,,0.06451612903225806,0.03260869565217391,0.0,0.23214285714285715,0.09448818897637795,0.0,0.0,0.15819209039548024,0.11538461538461539,0.02564102564102564,0.09090909090909091,0.05847953216374269,0.06666666666666667,0.0,0.11363636363636363,0.0875,0.02531645569620253,0.1111111111111111,0.06349206349206349,0.07482993197278912,0.09523809523809523,0.0,0.04,0.3076923076923077,0.08064516129032258,0.04085603112840467,0.4,0.13157894736842105,0.09574468085106383,0.0,,0.0
-15,0.043478260869565216,0.023255813953488372,0.0,0.0,0.02040816326530612,0.06015037593984962,0.05625,0.057692307692307696,,0.19672131147540983,0.04395604395604396,0.05,0.21621621621621623,0.10948905109489052,0.0,0.0,0.10714285714285714,0.08333333333333333,0.027777777777777776,0.25,0.041916167664670656,0.0,0.0,0.07692307692307693,0.012987012987012988,0.018867924528301886,0.14285714285714285,0.03389830508474576,0.03680981595092025,0.030303030303030304,0.0,0.05737704918032787,0.3582089552238806,0.08955223880597014,0.03294117647058824,0.0,0.09259259259259259,0.07920792079207921,0.0,,0.0
-14,0.0425531914893617,0.0,0.0,0.03225806451612903,0.16666666666666666,0.07894736842105263,0.037037037037037035,0.09523809523809523,0.0,0.08333333333333333,0.07407407407407407,0.0,0.11578947368421053,0.17647058823529413,0.0,0.0,0.10256410256410256,0.14634146341463414,0.09090909090909091,0.047619047619047616,0.07142857142857142,0.1,0.0,0.09090909090909091,0.08888888888888889,0.0,0.15,0.02564102564102564,0.09090909090909091,0.0,0.0,0.07462686567164178,0.3333333333333333,0.02857142857142857,0.05236907730673317,0.0,0.08181818181818182,0.14492753623188406,0.25,,0.0
-13,0.07142857142857142,0.0,0.0,0.07339449541284404,0.06,0.09855072463768116,0.0336,0.14634146341463414,,0.08064516129032258,0.07006369426751592,0.0,0.13106796116504854,0.12173913043478261,0.0,0.05263157894736842,0.12903225806451613,0.1134020618556701,0.06944444444444445,0.0,0.046242774566473986,0.02564102564102564,,0.017543859649122806,0.02631578947368421,0.05555555555555555,0.2631578947368421,0.051470588235294115,0.08536585365853659,0.1276595744680851,0.0,0.05921052631578947,0.38372093023255816,0.06097560975609756,0.06262626262626263,0.0,0.03821656050955414,0.058394160583941604,0.0,0.01694915254237288,0.5714285714285714
-12,0.0743801652892562,0.0,0.0,0.018867924528301886,0.015625,0.07880434782608696,0.03790849673202614,0.1282051282051282,0.0,0.0967741935483871,0.08108108108108109,0.022727272727272728,0.11267605633802817,0.05263157894736842,0.0,0.058823529411764705,0.1095890410958904,0.06796116504854369,0.03225806451612903,0.06060606060606061,0.03879310344827586,0.027777777777777776,0.25,0.11538461538461539,0.07228915662650602,0.047619047619047616,0.1111111111111111,0.07100591715976332,0.08620689655172414,0.13432835820895522,0.0,0.06493506493506493,0.35294117647058826,0.058823529411764705,0.06060606060606061,0.08333333333333333,0.04093567251461988,0.1103448275862069,0.15384615384615385,0.0,0.0
-11,0.058823529411764705,0.0,0.0,0.04225352112676056,0.014492753623188406,0.06830601092896176,0.03984575835475578,0.09375,,0.12857142857142856,0.05102040816326531,0.044444444444444446,0.11961722488038277,0.15822784810126583,0.0,0.0,0.13596491228070176,0.10989010989010989,0.09803921568627451,0.03571428571428571,0.08280254777070063,0.0,0.0,0.0425531914893617,0.025974025974025976,0.07291666666666667,0.0425531914893617,0.0392156862745098,0.0658682634730539,0.16176470588235295,0.0,0.06060606060606061,0.34615384615384615,0.04054054054054054,0.03386454183266932,0.13333333333333333,0.08695652173913043,0.1111111111111111,0.045454545454545456,0.0625,0.0
-10,0.06422018348623854,0.0,0.0,0.05333333333333334,0.03571428571428571,0.059001512859304085,0.03412073490813648,0.1111111111111111,,0.10429447852760736,0.06358381502890173,0.075,0.07650273224043716,0.1016949152542373,0.0,0.09090909090909091,0.11363636363636363,0.10077519379844961,0.058823529411764705,0.07142857142857142,0.08130081300813008,0.030303030303030304,0.0,0.05555555555555555,0.014705882352941176,0.02631578947368421,0.18181818181818182,0.05232558139534884,0.09285714285714286,0.18181818181818182,0.0,0.046052631578947366,0.3229166666666667,0.046153846153846156,0.05847953216374269,0.125,0.15217391304347827,0.07058823529411765,0.07692307692307693,0.02702702702702703,0.2222222222222222
