cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.00258732212160414,0.0,0.0,0.006269592476489028,0.007556675062972292,0.0009970089730807576,0.002867383512544803,0.0,0.009615384615384616,0.0,0.0026595744680851063,0.003787878787878788,0.0026595744680851063,0.0,0.0,0.0,0.004975124378109453,0.0,0.0031974420463629096,0.0,0.0,0.0136986301369863,0.002004008016032064,0.0,0.0055248618784530384,0.014577259475218658,0.0015105740181268882,0.006211180124223602,0.0,0.0,0.0,0.007228915662650603,0.006060606060606061,0.0,0.021505376344086023,
-12,0.0009025270758122744,0.001850709438618137,0.0,0.0021413276231263384,0.006069802731411229,0.004163775156141568,0.0032948929159802307,0.005208333333333333,0.0380952380952381,0.004329004329004329,0.0,0.0,0.001834862385321101,0.034482758620689655,0.0,0.007142857142857143,0.0051813471502590676,0.0,0.003331482509716824,0.0,0.0,0.027649769585253458,0.007413509060955519,0.015625,0.0,0.01569506726457399,0.0041797283176593526,0.0,0.007853403141361256,0.020833333333333332,0.005434782608695652,0.010109519797809604,0.0014947683109118087,0.0,0.022900763358778626,
-11,0.0016597510373443983,0.0,0.010638297872340425,0.008438818565400843,0.00933125972006221,0.0007288629737609329,0.004203888596952181,0.00684931506849315,0.0,0.004552352048558422,0.0034423407917383822,0.0,0.0033222591362126247,0.0,0.0,0.006756756756756757,0.011834319526627219,0.0,0.001594048884165781,0.0,0.0,0.02880658436213992,0.006002400960384154,0.0,0.003676470588235294,0.004132231404958678,0.0020597322348094747,0.020100502512562814,0.0024752475247524753,0.031446540880503145,0.002857142857142857,0.007550335570469799,0.01624815361890694,0.004739336492890996,0.006993006993006993,
-10,0.0008361204013377926,0.0011441647597254005,0.026785714285714284,0.0099601593625498,0.012544802867383513,0.0022010271460014674,0.003309431880860452,0.0,0.0,0.0031397174254317113,0.0,0.0,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.005485463521667581,0.0,0.0,0.034482758620689655,0.003484320557491289,0.0,0.0,0.013972055888223553,0.005518763796909493,0.015228426395939087,0.005305039787798408,0.012422360248447204,0.004484304932735426,0.010407632263660017,0.004594180704441042,0.005813953488372093,0.00909090909090909,
-9,0.003369839932603201,0.001610305958132045,0.009259259259259259,0.009398496240601503,0.00686106346483705,0.002044989775051125,0.002652519893899204,0.0,0.0,0.005016722408026756,0.0,0.005698005698005698,0.0,0.0,0.0,0.006622516556291391,0.010178117048346057,0.0,0.0025906735751295338,0.125,0.0,0.02,0.006674082313681869,0.0064516129032258064,0.0035971223021582736,0.00808080808080808,0.005701254275940707,0.004901960784313725,0.0,0.02702702702702703,0.005555555555555556,0.008271298593879239,0.007155635062611807,0.0,0.0034482758620689655,
-8,0.001932367149758454,0.0,0.0,0.0020408163265306124,0.003952569169960474,0.0016220600162206002,0.0017761989342806395,0.015037593984962405,0.01639344262295082,0.003472222222222222,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0072992700729927005,0.0,0.0037128712871287127,0.0,0.0,0.01,0.012178619756427604,0.0,0.0,0.002257336343115124,0.00554016620498615,0.010416666666666666,0.010380622837370242,0.015037593984962405,0.011589403973509934,0.00749063670411985,0.0,0.006329113924050633,0.007575757575757576,
-7,0.0,0.0021413276231263384,0.019230769230769232,0.0,0.0049261083743842365,0.0024174053182917004,0.004318618042226488,0.007042253521126761,0.009345794392523364,0.002244668911335578,0.0,0.001887861053426468,0.0,0.0,0.0,0.004597701149425287,0.001182033096926714,0.0,0.0021945866861741038,0.0,0.0,0.004032258064516129,0.007731958762886598,0.006993006993006993,0.00410958904109589,0.007281553398058253,0.004484304932735426,0.0,0.005434782608695652,0.02142857142857143,0.006936416184971098,0.009625668449197862,0.006215469613259668,0.0,0.013636363636363636,0.0016750418760469012
-6,0.0024449877750611247,0.0005241090146750524,0.0,0.0033444816053511705,0.00975609756097561,0.0010660980810234541,0.00280014000700035,0.013071895424836602,0.024630541871921183,0.002677376171352075,0.002403846153846154,0.00325821341297855,0.002911208151382824,0.0,0.01098901098901099,0.004319654427645789,0.007972665148063782,0.05263157894736842,0.0015600624024961,0.07692307692307693,0.0,0.03460207612456748,0.003236245954692557,0.006493506493506494,0.003054989816700611,0.005119453924914676,0.0028929604628736743,0.008695652173913044,0.00425531914893617,0.03314917127071823,0.0010548523206751054,0.012556053811659192,0.006843455945252352,0.005494505494505495,0.003472222222222222,0.008823529411764706
-5,0.0007751937984496124,0.0010746910263299302,0.0,0.006593406593406593,0.004846526655896607,0.003787878787878788,0.0030864197530864196,0.012422360248447204,0.004878048780487805,0.005298013245033113,0.0,0.0029482712409541678,0.0012626262626262627,0.0,0.0,0.00641025641025641,0.010262257696693273,0.0,0.004050925925925926,0.06666666666666667,0.0,0.014652014652014652,0.008072653884964682,0.012658227848101266,0.0032397408207343412,0.008291873963515755,0.0053811659192825115,0.004,0.0,0.018518518518518517,0.004571428571428572,0.0033984706881903144,0.0034071550255536627,0.0,0.011235955056179775,0.007692307692307693
-4,0.0022624434389140274,0.0010712372790573112,0.0,0.0,0.005681818181818182,0.001199040767386091,0.002834008097165992,0.00909090909090909,0.008670520231213872,0.0007087172218284905,0.00430416068866571,0.003958156629912355,0.0013550135501355014,0.0,0.0,0.006711409395973154,0.004651162790697674,0.0,0.0024193548387096775,0.08333333333333333,0.0,0.012396694214876033,0.008781558726673985,0.007462686567164179,0.007700770077007701,0.007766990291262136,0.005410279531109108,0.0,0.004629629629629629,0.016853932584269662,0.011862396204033215,0.009099181073703366,0.002070393374741201,0.003745318352059925,0.014652014652014652,0.008025682182985553
