cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,VA,WA,WI,WV
-13,0.00129366106080207,0.0,0.0,0.003134796238244514,0.007556675062972292,0.0009970089730807576,0.002867383512544803,0.0,0.009615384615384616,0.0,0.0,0.001893939393939394,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,0.0031974420463629096,0.0,0.0,0.0136986301369863,0.002004008016032064,0.0,0.0055248618784530384,0.011661807580174927,0.0015105740181268882,0.006211180124223602,0.0,0.0,0.0,0.007228915662650603,0.006060606060606061,0.0,0.021505376344086023,
-12,0.0009025270758122744,0.0012338062924120913,0.0,0.0021413276231263384,0.004552352048558422,0.0034698126301179735,0.0032948929159802307,0.005208333333333333,0.0380952380952381,0.004329004329004329,0.0,0.0,0.001834862385321101,0.034482758620689655,0.0,0.007142857142857143,0.0025906735751295338,0.0,0.003331482509716824,0.0,0.0,0.027649769585253458,0.005766062602965404,0.0,0.0,0.013452914798206279,0.0041797283176593526,0.0,0.007853403141361256,0.013888888888888888,0.005434782608695652,0.010109519797809604,0.0,0.0,0.019083969465648856,
-11,0.0016597510373443983,0.0,0.010638297872340425,0.008438818565400843,0.007776049766718507,0.0007288629737609329,0.0036784025223331584,0.0,0.0,0.004552352048558422,0.0034423407917383822,0.0,0.0033222591362126247,0.0,0.0,0.006756756756756757,0.011834319526627219,0.0,0.0010626992561105207,0.0,0.0,0.02880658436213992,0.003601440576230492,0.0,0.003676470588235294,0.004132231404958678,0.0010298661174047373,0.020100502512562814,0.0024752475247524753,0.031446540880503145,0.002857142857142857,0.006711409395973154,0.013293943870014771,0.004739336492890996,0.0034965034965034965,
-10,0.0008361204013377926,0.0011441647597254005,0.026785714285714284,0.0099601593625498,0.007168458781362007,0.001467351430667645,0.003309431880860452,0.0,0.0,0.0015698587127158557,0.0,0.0,0.0019230769230769232,0.0,0.0,0.0,0.0,0.0,0.004936917169500823,0.0,0.0,0.029556650246305417,0.003484320557491289,0.0,0.0,0.013972055888223553,0.005518763796909493,0.015228426395939087,0.005305039787798408,0.012422360248447204,0.004484304932735426,0.007805724197745013,0.004594180704441042,0.005813953488372093,0.00909090909090909,
-9,0.003369839932603201,0.001610305958132045,0.009259259259259259,0.009398496240601503,0.005145797598627788,0.002044989775051125,0.002122015915119363,0.0,0.0,0.0033444816053511705,0.0,0.002849002849002849,0.0,0.0,0.0,0.006622516556291391,0.007633587786259542,0.0,0.0025906735751295338,0.125,0.0,0.02,0.004449388209121246,0.0,0.0,0.00404040404040404,0.005701254275940707,0.004901960784313725,0.0,0.02702702702702703,0.005555555555555556,0.008271298593879239,0.007155635062611807,0.0,0.0034482758620689655,
-8,0.001932367149758454,0.0,0.0,0.0020408163265306124,0.003952569169960474,0.0008110300081103001,0.0011841326228537595,0.015037593984962405,0.00819672131147541,0.001736111111111111,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0072992700729927005,0.0,0.0037128712871287127,0.0,0.0,0.01,0.012178619756427604,0.0,0.0,0.002257336343115124,0.004155124653739612,0.005208333333333333,0.010380622837370242,0.015037593984962405,0.009933774834437087,0.0056179775280898875,0.0,0.006329113924050633,0.003787878787878788,
-7,0.0,0.0021413276231263384,0.019230769230769232,0.0,0.0049261083743842365,0.0024174053182917004,0.003838771593090211,0.007042253521126761,0.009345794392523364,0.001122334455667789,0.0,0.0015102888427411742,0.0,0.0,0.0,0.0022988505747126436,0.001182033096926714,0.0,0.001463057790782736,0.0,0.0,0.004032258064516129,0.007731958762886598,0.006993006993006993,0.0027397260273972603,0.0048543689320388345,0.004484304932735426,0.0,0.002717391304347826,0.02142857142857143,0.006936416184971098,0.006417112299465241,0.004143646408839779,0.0,0.013636363636363636,0.0016750418760469012
-6,0.0016299918500407497,0.0005241090146750524,0.0,0.0033444816053511705,0.008130081300813009,0.0010660980810234541,0.0021001050052502626,0.006535947712418301,0.014778325123152709,0.002677376171352075,0.001201923076923077,0.0024436600597339125,0.002911208151382824,0.0,0.01098901098901099,0.0,0.007972665148063782,0.05263157894736842,0.0005200208008320333,0.07692307692307693,0.0,0.031141868512110725,0.003236245954692557,0.006493506493506494,0.003054989816700611,0.005119453924914676,0.0019286403085824494,0.008695652173913044,0.002127659574468085,0.027624309392265192,0.0010548523206751054,0.010762331838565023,0.0051325919589392645,0.005494505494505495,0.003472222222222222,0.008823529411764706
-5,0.0007751937984496124,0.0010746910263299302,0.0,0.006593406593406593,0.004846526655896607,0.0031565656565656565,0.0023148148148148147,0.012422360248447204,0.004878048780487805,0.005298013245033113,0.0,0.0021441972661484857,0.0012626262626262627,0.0,0.0,0.00641025641025641,0.010262257696693273,0.0,0.001736111111111111,0.06666666666666667,0.0,0.01098901098901099,0.006054490413723511,0.006329113924050633,0.0021598272138228943,0.004975124378109453,0.004484304932735426,0.004,0.0,0.018518518518518517,0.002285714285714286,0.0033984706881903144,0.0034071550255536627,0.0,0.00749063670411985,0.007692307692307693
-4,0.0015082956259426848,0.0010712372790573112,0.0,0.0,0.003787878787878788,0.001199040767386091,0.0020242914979757085,0.00909090909090909,0.008670520231213872,0.0007087172218284905,0.0028694404591104736,0.002544529262086514,0.0013550135501355014,0.0,0.0,0.006711409395973154,0.004651162790697674,0.0,0.0024193548387096775,0.08333333333333333,0.0,0.012396694214876033,0.006586169045005488,0.007462686567164179,0.006600660066006601,0.007766990291262136,0.004508566275924256,0.0,0.004629629629629629,0.016853932584269662,0.00830367734282325,0.007279344858962694,0.0013802622498274672,0.003745318352059925,0.01098901098901099,0.004815409309791332
